query_id,domain,split,attack_type,method,representation,selected_forbidden_doc_ids,missed_expected_doc_ids,likely_failure_reason
q_s7_00_03_00,banking strategy,literal,contrastive_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_00_03_d00|s7_00_03_d02,threshold too strict
q_s7_00_03_00,banking strategy,literal,contrastive_attack,Negative Vector Baseline,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_01,banking strategy,paraphrase,indirect_attack,Vanilla RAG,tfidf_word,s7_00_03_d03,s7_00_03_d00|s7_00_03_d02,lexical overlap failure
q_s7_00_03_01,banking strategy,paraphrase,indirect_attack,Positive-only RAG,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_01,banking strategy,paraphrase,indirect_attack,Query Rewrite RAG,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_01,banking strategy,paraphrase,indirect_attack,Keyword Blocklist,tfidf_word,s7_00_03_d03,s7_00_03_d00|s7_00_03_d02,lexical overlap failure
q_s7_00_03_01,banking strategy,paraphrase,indirect_attack,Metadata Filter,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_01,banking strategy,paraphrase,indirect_attack,GoodForget-RAG,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_01,banking strategy,paraphrase,indirect_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_00_03_d00|s7_00_03_d02,threshold too strict
q_s7_00_03_01,banking strategy,paraphrase,indirect_attack,Negative Vector Baseline,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_02,banking strategy,stale_policy,stale_policy_confusion,Vanilla RAG,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_02,banking strategy,stale_policy,stale_policy_confusion,Positive-only RAG,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_02,banking strategy,stale_policy,stale_policy_confusion,Query Rewrite RAG,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_02,banking strategy,stale_policy,stale_policy_confusion,Keyword Blocklist,tfidf_word,,s7_00_03_d02,representation sensitivity
q_s7_00_03_02,banking strategy,stale_policy,stale_policy_confusion,Metadata Filter,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_02,banking strategy,stale_policy,stale_policy_confusion,GoodForget-RAG,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_00_03_02,banking strategy,stale_policy,stale_policy_confusion,GoodForget-RAG hard threshold,tfidf_word,,s7_00_03_d00|s7_00_03_d02,threshold too strict
q_s7_00_03_02,banking strategy,stale_policy,stale_policy_confusion,Negative Vector Baseline,tfidf_word,,s7_00_03_d00|s7_00_03_d02,representation sensitivity
q_s7_01_00_00,healthcare policy,mixed_evidence,paraphrased_negative,Vanilla RAG,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_00,healthcare policy,mixed_evidence,paraphrased_negative,Positive-only RAG,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_00,healthcare policy,mixed_evidence,paraphrased_negative,Query Rewrite RAG,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_00,healthcare policy,mixed_evidence,paraphrased_negative,Keyword Blocklist,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_00,healthcare policy,mixed_evidence,paraphrased_negative,Metadata Filter,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_00,healthcare policy,mixed_evidence,paraphrased_negative,GoodForget-RAG,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_00,healthcare policy,mixed_evidence,paraphrased_negative,GoodForget-RAG hard threshold,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_00,healthcare policy,mixed_evidence,paraphrased_negative,Negative Vector Baseline,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_01,healthcare policy,codeword,codeword_attack,Vanilla RAG,tfidf_word,s7_01_00_d03,s7_01_00_d02,codeword mismatch
q_s7_01_00_01,healthcare policy,codeword,codeword_attack,Positive-only RAG,tfidf_word,,s7_01_00_d02,codeword mismatch
q_s7_01_00_01,healthcare policy,codeword,codeword_attack,Query Rewrite RAG,tfidf_word,,s7_01_00_d02,codeword mismatch
q_s7_01_00_01,healthcare policy,codeword,codeword_attack,Keyword Blocklist,tfidf_word,s7_01_00_d03,s7_01_00_d02,codeword mismatch
q_s7_01_00_01,healthcare policy,codeword,codeword_attack,Metadata Filter,tfidf_word,,s7_01_00_d02,codeword mismatch
q_s7_01_00_01,healthcare policy,codeword,codeword_attack,GoodForget-RAG,tfidf_word,,s7_01_00_d02,codeword mismatch
q_s7_01_00_01,healthcare policy,codeword,codeword_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_01_00_d02,codeword mismatch
q_s7_01_00_01,healthcare policy,codeword,codeword_attack,Negative Vector Baseline,tfidf_word,,s7_01_00_d02,codeword mismatch
q_s7_01_00_02,healthcare policy,mixed_evidence,contrastive_attack,Vanilla RAG,tfidf_word,s7_01_00_d01,s7_01_00_d00|s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_02,healthcare policy,mixed_evidence,contrastive_attack,Positive-only RAG,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_02,healthcare policy,mixed_evidence,contrastive_attack,Query Rewrite RAG,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_02,healthcare policy,mixed_evidence,contrastive_attack,Keyword Blocklist,tfidf_word,,s7_01_00_d00|s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_02,healthcare policy,mixed_evidence,contrastive_attack,Metadata Filter,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_02,healthcare policy,mixed_evidence,contrastive_attack,GoodForget-RAG,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_00_02,healthcare policy,mixed_evidence,contrastive_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_01_00_d00,mixed-evidence granularity
q_s7_01_00_02,healthcare policy,mixed_evidence,contrastive_attack,Negative Vector Baseline,tfidf_word,,s7_01_00_d02,mixed-evidence granularity
q_s7_01_01_00,healthcare policy,codeword,codeword_attack,Vanilla RAG,tfidf_word,s7_01_01_d03,s7_01_01_d00|s7_01_01_d02,codeword mismatch
q_s7_01_01_00,healthcare policy,codeword,codeword_attack,Positive-only RAG,tfidf_word,,s7_01_01_d02,codeword mismatch
q_s7_01_01_00,healthcare policy,codeword,codeword_attack,Query Rewrite RAG,tfidf_word,,s7_01_01_d02,codeword mismatch
q_s7_01_01_00,healthcare policy,codeword,codeword_attack,Keyword Blocklist,tfidf_word,s7_01_01_d03,s7_01_01_d00|s7_01_01_d02,codeword mismatch
q_s7_01_01_00,healthcare policy,codeword,codeword_attack,Metadata Filter,tfidf_word,,s7_01_01_d02,codeword mismatch
q_s7_01_01_00,healthcare policy,codeword,codeword_attack,GoodForget-RAG,tfidf_word,,s7_01_01_d02,codeword mismatch
q_s7_01_01_00,healthcare policy,codeword,codeword_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_01_01_d02,codeword mismatch
q_s7_01_01_00,healthcare policy,codeword,codeword_attack,Negative Vector Baseline,tfidf_word,,s7_01_01_d02,codeword mismatch
q_s7_01_01_01,healthcare policy,near_duplicate,contrastive_attack,Vanilla RAG,tfidf_word,s7_01_01_d01,s7_01_01_d00|s7_01_01_d02,near-duplicate confusion
q_s7_01_01_01,healthcare policy,near_duplicate,contrastive_attack,Positive-only RAG,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_01,healthcare policy,near_duplicate,contrastive_attack,Query Rewrite RAG,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_01,healthcare policy,near_duplicate,contrastive_attack,Keyword Blocklist,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_01,healthcare policy,near_duplicate,contrastive_attack,Metadata Filter,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_01,healthcare policy,near_duplicate,contrastive_attack,GoodForget-RAG,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_01,healthcare policy,near_duplicate,contrastive_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_01,healthcare policy,near_duplicate,contrastive_attack,Negative Vector Baseline,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_02,healthcare policy,near_duplicate,indirect_attack,Vanilla RAG,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_02,healthcare policy,near_duplicate,indirect_attack,Positive-only RAG,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_02,healthcare policy,near_duplicate,indirect_attack,Query Rewrite RAG,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_02,healthcare policy,near_duplicate,indirect_attack,Keyword Blocklist,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_02,healthcare policy,near_duplicate,indirect_attack,Metadata Filter,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_02,healthcare policy,near_duplicate,indirect_attack,GoodForget-RAG,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_02,healthcare policy,near_duplicate,indirect_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_01_02,healthcare policy,near_duplicate,indirect_attack,Negative Vector Baseline,tfidf_word,,s7_01_01_d02,near-duplicate confusion
q_s7_01_02_00,healthcare policy,literal,contrastive_attack,Vanilla RAG,tfidf_word,s7_01_02_d01,s7_01_02_d00|s7_01_02_d02,lexical overlap failure
q_s7_01_02_00,healthcare policy,literal,contrastive_attack,Positive-only RAG,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_00,healthcare policy,literal,contrastive_attack,Query Rewrite RAG,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_00,healthcare policy,literal,contrastive_attack,Keyword Blocklist,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_00,healthcare policy,literal,contrastive_attack,Metadata Filter,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_00,healthcare policy,literal,contrastive_attack,GoodForget-RAG,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_00,healthcare policy,literal,contrastive_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_01_02_d00|s7_01_02_d02,threshold too strict
q_s7_01_02_00,healthcare policy,literal,contrastive_attack,Negative Vector Baseline,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_01,healthcare policy,paraphrase,indirect_attack,Vanilla RAG,tfidf_word,,s7_01_02_d02,representation sensitivity
q_s7_01_02_01,healthcare policy,paraphrase,indirect_attack,Positive-only RAG,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_01,healthcare policy,paraphrase,indirect_attack,Query Rewrite RAG,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_01,healthcare policy,paraphrase,indirect_attack,Keyword Blocklist,tfidf_word,,s7_01_02_d02,representation sensitivity
q_s7_01_02_01,healthcare policy,paraphrase,indirect_attack,Metadata Filter,tfidf_word,,s7_01_02_d02,representation sensitivity
q_s7_01_02_01,healthcare policy,paraphrase,indirect_attack,GoodForget-RAG,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_01,healthcare policy,paraphrase,indirect_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_01_02_d00|s7_01_02_d02,threshold too strict
q_s7_01_02_01,healthcare policy,paraphrase,indirect_attack,Negative Vector Baseline,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_02,healthcare policy,stale_policy,stale_policy_confusion,Vanilla RAG,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_02,healthcare policy,stale_policy,stale_policy_confusion,Positive-only RAG,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_02,healthcare policy,stale_policy,stale_policy_confusion,Query Rewrite RAG,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_02,healthcare policy,stale_policy,stale_policy_confusion,Keyword Blocklist,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_02,healthcare policy,stale_policy,stale_policy_confusion,Metadata Filter,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_02,healthcare policy,stale_policy,stale_policy_confusion,GoodForget-RAG,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_02_02,healthcare policy,stale_policy,stale_policy_confusion,GoodForget-RAG hard threshold,tfidf_word,,s7_01_02_d00|s7_01_02_d02,threshold too strict
q_s7_01_02_02,healthcare policy,stale_policy,stale_policy_confusion,Negative Vector Baseline,tfidf_word,,s7_01_02_d00|s7_01_02_d02,representation sensitivity
q_s7_01_03_00,healthcare policy,stale_policy,indirect_attack,Vanilla RAG,tfidf_word,,s7_01_03_d00|s7_01_03_d02,representation sensitivity
q_s7_01_03_00,healthcare policy,stale_policy,indirect_attack,Positive-only RAG,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_00,healthcare policy,stale_policy,indirect_attack,Query Rewrite RAG,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_00,healthcare policy,stale_policy,indirect_attack,Keyword Blocklist,tfidf_word,,s7_01_03_d00|s7_01_03_d02,representation sensitivity
q_s7_01_03_00,healthcare policy,stale_policy,indirect_attack,Metadata Filter,tfidf_word,,s7_01_03_d00|s7_01_03_d02,representation sensitivity
q_s7_01_03_00,healthcare policy,stale_policy,indirect_attack,GoodForget-RAG,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_00,healthcare policy,stale_policy,indirect_attack,GoodForget-RAG hard threshold,tfidf_word,,s7_01_03_d00|s7_01_03_d02,threshold too strict
q_s7_01_03_00,healthcare policy,stale_policy,indirect_attack,Negative Vector Baseline,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_01,healthcare policy,stale_policy,stale_policy_confusion,Vanilla RAG,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_01,healthcare policy,stale_policy,stale_policy_confusion,Positive-only RAG,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_01,healthcare policy,stale_policy,stale_policy_confusion,Query Rewrite RAG,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_01,healthcare policy,stale_policy,stale_policy_confusion,Keyword Blocklist,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_01,healthcare policy,stale_policy,stale_policy_confusion,Metadata Filter,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_01,healthcare policy,stale_policy,stale_policy_confusion,GoodForget-RAG,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_01,healthcare policy,stale_policy,stale_policy_confusion,GoodForget-RAG hard threshold,tfidf_word,,s7_01_03_d00|s7_01_03_d02,threshold too strict
q_s7_01_03_01,healthcare policy,stale_policy,stale_policy_confusion,Negative Vector Baseline,tfidf_word,,s7_01_03_d02,representation sensitivity
q_s7_01_03_02,healthcare policy,noisy_forget_set,noisy_forget,Vanilla RAG,tfidf_word,,s7_01_03_d00|s7_01_03_d02,overbroad forget set
q_s7_01_03_02,healthcare policy,noisy_forget_set,noisy_forget,Positive-only RAG,tfidf_word,,s7_01_03_d02,overbroad forget set
q_s7_01_03_02,healthcare policy,noisy_forget_set,noisy_forget,Query Rewrite RAG,tfidf_word,,s7_01_03_d02,overbroad forget set
q_s7_01_03_02,healthcare policy,noisy_forget_set,noisy_forget,Keyword Blocklist,tfidf_word,,s7_01_03_d00|s7_01_03_d02,overbroad forget set
q_s7_01_03_02,healthcare policy,noisy_forget_set,noisy_forget,Metadata Filter,tfidf_word,,s7_01_03_d00|s7_01_03_d02,overbroad forget set
q_s7_01_03_02,healthcare policy,noisy_forget_set,noisy_forget,GoodForget-RAG,tfidf_word,,s7_01_03_d00|s7_01_03_d02,overbroad forget set
q_s7_01_03_02,healthcare policy,noisy_forget_set,noisy_forget,GoodForget-RAG hard threshold,tfidf_word,,s7_01_03_d00|s7_01_03_d02,overbroad forget set
q_s7_01_03_02,healthcare policy,noisy_forget_set,noisy_forget,Negative Vector Baseline,tfidf_word,,s7_01_03_d00|s7_01_03_d02,overbroad forget set
